" yazidi_bishop0: ""baba sheikh""","","","","",""
" yazidi_bishop_plural0: ""baba sheikhs""","","","","",""
" yazidi_positive_afterlife0: ""the next life""","","","","",""
" yazidi_positive_afterlife_20: ""$yazidi_positive_afterlife$"" # Optional translation alt","","","","",""
" yazidi_positive_afterlife_30: ""$yazidi_positive_afterlife$"" # Optional translation alt","","","","",""
" yazidi_negative_afterlife0: ""the Outside""","","","","",""
" yazidi_negative_afterlife_20: ""$yazidi_negative_afterlife$"" # Optional translation alt","","","","",""
" yazidi_negative_afterlife_30: ""$yazidi_negative_afterlife$"" # Optional translation alt","","","","",""
"","","","","",""
" meshefaresism0: ""Meshefaresism""","","","","",""
" meshefares_adj0: ""Meshefaresist""","","","","",""
" meshefaresism_adj0: ""$meshefares_adj$""","","","","",""
" meshefares_adherent0: ""Meshefaresist""","","","","",""
" meshefaresism_adherent0: ""$meshefares_adherent$""","","","","",""
" meshefares_adherent_plural0: ""Meshefaresists""","","","","",""
" meshefaresism_adherent_plural0: ""$meshefares_adherent_plural$""","","","","",""
" meshefares_desc0: ""Followers of the Black Book"," which describes how the Lord came down from Black Mountain and created the world.""","","","",""
" meshefaresism_desc0: ""$meshefares_desc$""","","","","",""
" meshefaresism_holy_text0: ""Meshefa res""","","","","",""
" meshefaresism_holy_text_20: ""$meshefaresism_holy_text$"" # Optional translation alt","","","","",""
" meshefaresism_holy_text_30: ""$meshefaresism_holy_text$"" # Optional translation alt","","","","",""
"","","","","",""
" kitebacilweism0: ""Kitêbacilweism""","","","","",""
" kitebacilweism_adj0: ""Kitêbacilweist""","","","","",""
" kitebacilweism_adherent0: ""Kitêbacilweist""","","","","",""
" kitebacilweism_adherent_plural0: ""Kitêbacilweists""","","","","",""
" kitebacilweism_desc0: ""Followers of the Book of Revelation"," which tells of Xwedê's greatness.""","","","",""
" kitebacilweism_holy_text0: ""Kitêba Cilwe""","","","","",""
" kitebacilweism_holy_text_20: ""$kitebacilweism_holy_text$"" # Optional translation alt","","","","",""
" kitebacilweism_holy_text_30: ""$kitebacilweism_holy_text$"" # Optional translation alt","","","","",""
